Width,Page,Left,Top,Height,Text,Font,Size,Font Count
434,2,72,307,14,"4.10  Unforeseen Difficulties ......................................................................................................... 20 
",ArialMT,14.69 13.26,1
434,2,72,295,14,"4.11  Rights of Way and Facilities ................................................................................................. 20 
",ArialMT,14.69 13.26,1
434,2,72,284,14,"4.12  Avoidance of Interference .................................................................................................... 20 
",ArialMT,14.69 13.26,1
434,2,72,273,14,"4.13  Access Route ....................................................................................................................... 20 
",ArialMT,14.69 13.26,1
434,2,72,261,14,"4.14  Transport of Goods and equipment ..................................................................................... 21 
",ArialMT,14.69 13.26,1
434,2,72,250,14,"4.15  Subcontractor’s Equipment .................................................................................................. 21 
",ArialMT,14.69 13.26,1
434,2,72,238,14,"4.16  Environment ......................................................................................................................... 21 
",ArialMT,14.69 13.26,1
434,2,72,226,14,"4.17  Electricity, Water and Gas .................................................................................................... 22 
",ArialMT,14.69 13.26,1
434,2,72,215,14,"4.18  Contractor’s Equipment ........................................................................................................ 22 
",ArialMT,14.69 13.26,1
434,2,72,204,14,"4.19  Progress Reports ................................................................................................................. 22 
",ArialMT,14.69 13.26,1
434,2,72,192,14,"4.20  Security of the Site ............................................................................................................... 23 
",ArialMT,14.69 13.26,1
434,2,72,181,14,"4.21  Subcontractor’s Operations on Site ..................................................................................... 24 
",ArialMT,14.69 13.26,1
434,2,72,169,14,"4.22  Separable Portions ............................................................................................................... 24 
",ArialMT,14.69 13.26,1
434,2,72,157,14,"4.23  Prior Work............................................................................................................................. 25 
",ArialMT,14.69 13.26,1
434,2,72,146,14,"4.24  Other Agreements ................................................................................................................ 25 
",ArialMT,14.69 13.26,1
434,2,72,135,14,"4.25  Prohibited Materials .............................................................................................................. 26 
",ArialMT,14.69 13.26,1
434,2,72,123,14,"4.26  Registered or Licensed ........................................................................................................ 26 
",ArialMT,14.69 13.26,1
434,2,72,112,14,"4.27  Prohibited Acts ..................................................................................................................... 26 
",ArialMT,14.69 13.26,1
235,2,72,38,10,"Subcontract for the Al Reem Island Integrated Health Care Center 
",ArialMT,10.7,1
60,3,72,771,15,"5.  Design 
",Arial-BoldItalicMT,13.88 15.39,1
434,3,72,760,14,"5.1  Contractor’s Requirements ................................................................................................... 26 
",ArialMT,14.69 13.26,1
434,3,72,748,14,"5.2  Design Phases ..................................................................................................................... 26 
",ArialMT,14.69 13.26,1
434,3,72,737,14,"5.3  Technical Standards and Regulations ................................................................................. 27 
",ArialMT,14.69 13.26,1
434,3,72,725,14,"5.4  As-built Documents .............................................................................................................. 27 
",ArialMT,14.69 13.26,1
434,3,72,714,14,"5.5  O&M Manuals & Training ..................................................................................................... 28 
",ArialMT,14.69 13.26,1
14,3,143,771,15,"26 
",Arial-BoldItalicMT,13.88 15.39,1
434,3,72,690,15,"6.  Subcontracting .................................................................................................................... 28 
",Arial-BoldItalicMT,13.88 15.39,1
434,3,72,679,14,"6.1  Subcontractors Generally ..................................................................................................... 28 
",ArialMT,14.69 13.26,1
434,3,72,667,14,"6.2  Content of all Subcontracts .................................................................................................. 29 
",ArialMT,14.69 13.26,1
434,3,72,656,14,"6.3  Termination of Subcontracts ................................................................................................ 29 
",ArialMT,14.69 13.26,1
434,3,72,632,15,"7.  Staff and Labour .................................................................................................................. 30 
",Arial-BoldItalicMT,13.88 15.39,1
434,3,72,621,14,"7.1  Engagement of Staff and Labour ......................................................................................... 30 
",ArialMT,14.69 13.26,1
434,3,72,609,14,"7.2  Persons in the Service of Contractor ................................................................................... 30 
",ArialMT,14.69 13.26,1
434,3,72,598,14,"7.3  Labour Laws ......................................................................................................................... 30 
",ArialMT,14.69 13.26,1
434,3,72,586,14,"7.4  Working Hours ...................................................................................................................... 30 
",ArialMT,14.69 13.26,1
434,3,72,575,14,"7.5  Facilities for Staff and Labour............................................................................................... 30 
",ArialMT,14.69 13.26,1
434,3,72,563,14,"7.6  Health and Safety ................................................................................................................. 30 
",ArialMT,14.69 13.26,1
434,3,72,552,14,"7.7  Subcontractor’s Superintendence ........................................................................................ 31 
",ArialMT,14.69 13.26,1
434,3,72,540,14,"7.8  Subcontractor’s Personnel ................................................................................................... 32 
",ArialMT,14.69 13.26,1
434,3,72,529,14,"7.9  Records of Subcontractor’s Personnel and equipment ........................................................ 32 
",ArialMT,14.69 13.26,1
434,3,72,517,14,"7.10  Disorderly Conduct ............................................................................................................... 32 
",ArialMT,14.69 13.26,1
434,3,72,506,14,"7.11  Supply of Water .................................................................................................................... 32 
",ArialMT,14.69 13.26,1
434,3,72,494,14,"7.12  Arms and Ammunition .......................................................................................................... 32 
",ArialMT,14.69 13.26,1
434,3,72,483,14,"7.13  Festivals and Religious Customs ......................................................................................... 33 
",ArialMT,14.69 13.26,1
434,3,72,471,14,"7.14  Alcoholic Liquor or Drugs ..................................................................................................... 33 
",ArialMT,14.69 13.26,1
434,3,72,460,14,"7.15  Epidemics / Pandemics ........................................................................................................ 33 
",ArialMT,14.69 13.26,1
434,3,72,448,14,"7.16  Sanitary Facilities ................................................................................................................. 33 
",ArialMT,14.69 13.26,1
434,3,72,437,14,"7.17  Political Activities .................................................................................................................. 33 
",ArialMT,14.69 13.26,1
434,3,72,413,15,"8.  Plant, Materials and Workmanship .................................................................................... 33 
",Arial-BoldItalicMT,13.88 15.39,1
434,3,72,402,14,"8.1  Manner of Execution ............................................................................................................ 33 
",ArialMT,14.69 13.26,1
434,3,72,390,14,"8.2  Samples ................................................................................................................................ 34 
",ArialMT,14.69 13.26,1
16,3,72,379,14,"8.3 
",ArialMT,14.69 13.26,1
407,3,99,379,14,"Inspection ............................................................................................................................. 34 
",ArialMT,14.69 13.26,1
434,3,72,367,14,"8.4  Testing .................................................................................................................................. 35 
",ArialMT,14.69 13.26,1
434,3,72,356,14,"8.5  Rejection ............................................................................................................................... 35 
",ArialMT,14.69 13.26,1
434,3,72,344,14,"8.6  Remedial Work ..................................................................................................................... 36 
",ArialMT,14.69 13.26,1
434,3,72,333,14,"8.7  Ownership of Plant and Materials ........................................................................................ 36 
",ArialMT,14.69 13.26,1
434,3,72,321,14,"8.8  Royalties ............................................................................................................................... 36 
",ArialMT,14.69 13.26,1
411,3,72,310,14,"8.9  Unless  otherwise  agreed,  the  Subcontractor  shall  pay  all  royalties,  rents  and  other 
",ArialMT,14.69 13.26,1
407,3,99,298,14,"payments for: ........................................................................................................................ 36 
",ArialMT,14.69 13.26,1
434,3,72,275,15,"9.  Commencement, Delays and Suspension ........................................................................ 36 
",Arial-BoldItalicMT,13.88 15.39,1
434,3,72,263,14,"9.1  Commencement of Work ...................................................................................................... 36 
",ArialMT,14.69 13.26,1
434,3,72,252,14,"9.2  Time for Completion ............................................................................................................. 37 
",ArialMT,14.69 13.26,1
434,3,72,240,14,"9.3  Programme ........................................................................................................................... 37 
",ArialMT,14.69 13.26,1
434,3,72,229,14,"9.4  Extension of Time for Completion ........................................................................................ 38 
",ArialMT,14.69 13.26,1
434,3,72,217,14,"9.5  Rate of Progress .................................................................................................................. 39 
",ArialMT,14.69 13.26,1
434,3,72,206,14,"9.6  Delay Damages .................................................................................................................... 40 
",ArialMT,14.69 13.26,1
434,3,72,194,14,"9.7  Suspension of Work ............................................................................................................. 40 
",ArialMT,14.69 13.26,1
434,3,72,183,14,"9.8  Consequences of Suspension ............................................................................................. 40 
",ArialMT,14.69 13.26,1
434,3,72,171,14,"9.9  Payment for Plant and Materials in Event of Suspension .................................................... 41 
",ArialMT,14.69 13.26,1
434,3,72,160,14,"9.10  Prolonged Suspension ......................................................................................................... 41 
",ArialMT,14.69 13.26,1
434,3,72,148,14,"9.11  Resumption of Work ............................................................................................................. 41 
",ArialMT,14.69 13.26,1
434,3,72,125,15,"10.  Tests on Completion ........................................................................................................... 41 
",Arial-BoldItalicMT,13.88 15.39,1
434,3,72,113,14,"10.1  Subcontractor’s Obligations ................................................................................................. 41 
",ArialMT,14.69 13.26,1
434,3,72,102,14,"10.2  Delayed Tests ...................................................................................................................... 42 
",ArialMT,14.69 13.26,1
235,3,72,38,10,"Subcontract for the Al Reem Island Integrated Health Care Center 
",ArialMT,10.7,1
434,4,72,771,14,"10.3  Retesting .............................................................................................................................. 42 
",ArialMT,14.69 13.26,1
434,4,72,760,14,"10.4  Failure to Pass Tests on Completion ................................................................................... 42 
",ArialMT,14.69 13.26,1
434,4,72,736,15,"11.  Contractor’s Taking Over ................................................................................................... 42 
",Arial-BoldItalicMT,13.88 15.39,1
434,4,72,725,14,"11.1  Taking Over of the Works and Separable Portions .............................................................. 42 
",ArialMT,14.69 13.26,1
434,4,72,713,14,"11.2  Taking Over and Use of Parts of the Works ......................................................................... 43 
",ArialMT,14.69 13.26,1
434,4,72,702,14,"11.3  Interference with Tests on Completion ................................................................................. 43 
",ArialMT,14.69 13.26,1
434,4,72,690,14,"11.4  Early Access for Other Subcontractors ................................................................................ 44 
",ArialMT,14.69 13.26,1
434,4,72,667,15,"12.  Defects Liability ................................................................................................................... 44 
",Arial-BoldItalicMT,13.88 15.39,1
434,4,72,655,14,"12.1  Completion of Outstanding Work and Remedying Defects .................................................. 44 
",ArialMT,14.69 13.26,1
434,4,72,644,14,"12.2  Cost of Remedying Defects .................................................................................................. 45 
",ArialMT,14.69 13.26,1
434,4,72,632,14,"12.3  Extension of Defects Notification Period .............................................................................. 45 
",ArialMT,14.69 13.26,1
434,4,72,621,14,"12.4  Failure to Remedy Defects ................................................................................................... 45 
",ArialMT,14.69 13.26,1
434,4,72,609,14,"12.5  Further Tests ........................................................................................................................ 46 
",ArialMT,14.69 13.26,1
434,4,72,598,14,"12.6  Right of Access .................................................................................................................... 46 
",ArialMT,14.69 13.26,1
434,4,72,586,14,"12.7  Subcontractor to Search ....................................................................................................... 46 
",ArialMT,14.69 13.26,1
434,4,72,575,14,"12.8  Performance Certificate ........................................................................................................ 46 
",ArialMT,14.69 13.26,1
434,4,72,563,14,"12.9  Unfulfilled Obligations ........................................................................................................... 46 
",ArialMT,14.69 13.26,1
434,4,72,552,14,"12.10 Clearance of Site .................................................................................................................. 47 
",ArialMT,14.69 13.26,1
434,4,72,540,14,"12.11 Collateral Warranties ............................................................................................................ 47 
",ArialMT,14.69 13.26,1
434,4,72,529,14,"12.12 Latent defects ....................................................................................................................... 47 
",ArialMT,14.69 13.26,1
434,4,72,505,15,"13.  Variations and Adjustments ............................................................................................... 48 
",Arial-BoldItalicMT,13.88 15.39,1
434,4,72,494,14,"13.1  Right to Vary ......................................................................................................................... 48 
",ArialMT,14.69 13.26,1
434,4,72,482,14,"13.2  Variation Procedure .............................................................................................................. 48 
",ArialMT,14.69 13.26,1
434,4,72,471,14,"13.3  Adjustments for Changes in Legislation ............................................................................... 50 
",ArialMT,14.69 13.26,1
434,4,72,459,14,"13.4  Adjustments for Changes in Cost ......................................................................................... 50 
",ArialMT,14.69 13.26,1
434,4,72,436,15,"14.  Subcontract Price and Payment ........................................................................................ 50 
",Arial-BoldItalicMT,13.88 15.39,1
434,4,72,424,14,"14.1  The Subcontract Price .......................................................................................................... 50 
",ArialMT,14.69 13.26,1
434,4,72,413,14,"14.2  Breakdown of Subcontract Price .......................................................................................... 50 
",ArialMT,14.69 13.26,1
434,4,72,401,14,"14.3  Adjustments to the Subcontract Price .................................................................................. 51 
",ArialMT,14.69 13.26,1
434,4,72,390,14,"14.4  Application for Payments ...................................................................................................... 51 
",ArialMT,14.69 13.26,1
434,4,72,378,14,"14.5  Issue of Interim Payment Certificates .................................................................................. 52 
",ArialMT,14.69 13.26,1
434,4,72,367,14,"14.6  Payment ............................................................................................................................... 53 
",ArialMT,14.69 13.26,1
434,4,72,355,14,"14.7  Retention .............................................................................................................................. 53 
",ArialMT,14.69 13.26,1
434,4,72,344,14,"14.8  Rights to Set off .................................................................................................................... 53 
",ArialMT,14.69 13.26,1
434,4,72,332,14,"14.9  Statement at Completion ...................................................................................................... 54 
",ArialMT,14.69 13.26,1
434,4,72,321,14,"14.10 Application for Final Payment Certificate ............................................................................. 54 
",ArialMT,14.69 13.26,1
434,4,72,309,14,"14.11 Discharge ............................................................................................................................. 54 
",ArialMT,14.69 13.26,1
434,4,72,298,14,"14.12 Issue of Final Payment Certificate ....................................................................................... 55 
",ArialMT,14.69 13.26,1
434,4,72,286,14,"14.13 Cessation of Contractor’s Liability ........................................................................................ 55 
",ArialMT,14.69 13.26,1
434,4,72,275,14,"14.14 Currencies of Payment ......................................................................................................... 55 
",ArialMT,14.69 13.26,1
434,4,72,263,14,"14.15 Payments to Contractor ........................................................................................................ 55 
",ArialMT,14.69 13.26,1
434,4,72,240,15,"15.  Termination by Contractor ................................................................................................. 56 
",Arial-BoldItalicMT,13.88 15.39,1
434,4,72,228,14,"15.1  Notice to Correct .................................................................................................................. 56 
",ArialMT,14.69 13.26,1
434,4,72,217,14,"15.2  Termination by Contractor .................................................................................................... 56 
",ArialMT,14.69 13.26,1
434,4,72,205,14,"15.3  Valuation at Date of Termination .......................................................................................... 57 
",ArialMT,14.69 13.26,1
434,4,72,194,14,"15.4  Payment after Termination ................................................................................................... 57 
",ArialMT,14.69 13.26,1
434,4,72,182,14,"15.5  UAE Civil Code ..................................................................................................................... 57 
",ArialMT,14.69 13.26,1
434,4,72,159,15,"16.  Suspension and Termination by Subcontractor .............................................................. 58 
",Arial-BoldItalicMT,13.88 15.39,1
434,4,72,147,14,"16.1  Subcontractor’s Entitlement to Suspend Work ..................................................................... 58 
",ArialMT,14.69 13.26,1
434,4,72,136,14,"16.2  Termination by Subcontractor .............................................................................................. 58 
",ArialMT,14.69 13.26,1
434,4,72,124,14,"16.3  Cessation of Work and Removal of Subcontractor’s Equipment ......................................... 59 
",ArialMT,14.69 13.26,1
434,4,72,113,14,"16.4  Payment on Termination ...................................................................................................... 59 
",ArialMT,14.69 13.26,1
434,4,72,101,14,"16.5  UAE Civil Code ..................................................................................................................... 59 
",ArialMT,14.69 13.26,1
235,4,72,38,10,"Subcontract for the Al Reem Island Integrated Health Care Center 
",ArialMT,10.7,1
434,5,72,771,15,"17.  Risk and Responsibility ...................................................................................................... 59 
",Arial-BoldItalicMT,13.88 15.39,1
434,5,72,760,14,"17.1  Indemnities ........................................................................................................................... 59 
",ArialMT,14.69 13.26,1
434,5,72,748,14,"17.2  Subcontractor’s Care of the Works ...................................................................................... 59 
",ArialMT,14.69 13.26,1
434,5,72,737,14,"17.3  Contractor’s Risks ................................................................................................................ 60 
",ArialMT,14.69 13.26,1
434,5,72,725,14,"17.4  Consequences of Contractor’s Risks ................................................................................... 60 
",ArialMT,14.69 13.26,1
434,5,72,714,14,"17.5  Intellectual Property Rights .................................................................................................. 60 
",ArialMT,14.69 13.26,1
434,5,72,702,14,"17.6  Limitation of Liability ............................................................................................................. 61 
",ArialMT,14.69 13.26,1
62,5,96,679,15,"Insurance 61 
",Arial-BoldItalicMT,13.88 15.39,1
16,5,72,679,15,"18. 
",Arial-BoldItalicMT,13.88 15.39,1
434,5,72,667,14,"18.1  General Requirements for Insurances ................................................................................. 61 
",ArialMT,14.69 13.26,1
434,5,72,656,14,"18.2  Insurance for Works ............................................................................................................. 63 
",ArialMT,14.69 13.26,1
434,5,72,644,14,"18.3  Insurance against Injury to Third Party Persons and Damage to Third Party Property ....... 64 
",ArialMT,14.69 13.26,1
434,5,72,633,14,"18.4  Insurance for Subcontractor’s Personnel ............................................................................. 64 
",ArialMT,14.69 13.26,1
434,5,72,621,14,"18.5  Professional Indemnity Insurance ........................................................................................ 64 
",ArialMT,14.69 13.26,1
434,5,72,610,14,"18.6  Additional insurances ........................................................................................................... 65 
",ArialMT,14.69 13.26,1
434,5,72,586,15,"19.  Force Majeure ...................................................................................................................... 65 
",Arial-BoldItalicMT,13.88 15.39,1
434,5,72,575,14,"19.1  Definition of Force Majeure .................................................................................................. 65 
",ArialMT,14.69 13.26,1
434,5,72,563,14,"19.2  Notice of Force Majeure ....................................................................................................... 66 
",ArialMT,14.69 13.26,1
434,5,72,552,14,"19.3  Duty to Minimize Delay ......................................................................................................... 66 
",ArialMT,14.69 13.26,1
434,5,72,540,14,"19.4  Consequences of Force Majeure ......................................................................................... 66 
",ArialMT,14.69 13.26,1
434,5,72,529,14,"19.5  Optional Termination, Payment and Release ...................................................................... 66 
",ArialMT,14.69 13.26,1
434,5,72,505,15,"20.  Claims and Dispute Resolution ......................................................................................... 67 
",Arial-BoldItalicMT,13.88 15.39,1
434,5,72,494,14,"20.1  Subcontractor’s Claims ........................................................................................................ 67 
",ArialMT,14.69 13.26,1
434,5,72,482,14,"20.2  Horizontal Defences ............................................................................................................. 68 
",ArialMT,14.69 13.26,1
434,5,72,471,14,"20.3  Amicable Settlement ............................................................................................................ 68 
",ArialMT,14.69 13.26,1
434,5,72,459,14,"20.4  Arbitration ............................................................................................................................. 69 
",ArialMT,14.69 13.26,1
434,5,72,436,15,"21.  Miscellaneous Provisions .................................................................................................. 69 
",Arial-BoldItalicMT,13.88 15.39,1
434,5,72,424,14,"21.1  Warranties as to capacity ..................................................................................................... 69 
",ArialMT,14.69 13.26,1
434,5,72,413,14,"21.2  Severability ........................................................................................................................... 69 
",ArialMT,14.69 13.26,1
434,5,72,401,14,"21.3  Counterparts ......................................................................................................................... 69 
",ArialMT,14.69 13.26,1
434,5,72,390,14,"21.4  Independent Subcontractor .................................................................................................. 69 
",ArialMT,14.69 13.26,1
434,5,72,378,14,"21.5  Privity .................................................................................................................................... 70 
",ArialMT,14.69 13.26,1
434,5,72,367,14,"21.6  Waiver .................................................................................................................................. 70 
",ArialMT,14.69 13.26,1
434,5,72,355,14,"21.7  Exercise of Rights ................................................................................................................ 70 
",ArialMT,14.69 13.26,1
434,5,72,344,14,"21.8  Imports and Customs ........................................................................................................... 70 
",ArialMT,14.69 13.26,1
434,5,72,332,14,"21.9  Rights cumulative ................................................................................................................. 70 
",ArialMT,14.69 13.26,1
434,5,72,321,14,"21.10 No variation .......................................................................................................................... 70 
",ArialMT,14.69 13.26,1
434,5,72,309,14,"21.11 Costs .................................................................................................................................... 70 
",ArialMT,14.69 13.26,1
434,5,72,298,14,"21.12 Further Documentation ......................................................................................................... 70 
",ArialMT,14.69 13.26,1
434,5,72,286,14,"21.13 Obligations continuing .......................................................................................................... 70 
",ArialMT,14.69 13.26,1
58,5,72,263,15,"Schedule 1. 
",Arial-BoldItalicMT,13.88 15.39,1
362,5,144,263,15,"Pricing Information ............................................................................................ 77 
",Arial-BoldItalicMT,13.88 15.39,1
58,5,72,239,15,"Schedule 2. 
",Arial-BoldItalicMT,13.88 15.39,1
362,5,144,239,15,"Separable Portions ............................................................................................ 78 
",Arial-BoldItalicMT,13.88 15.39,1
58,5,72,216,15,"Schedule 3. 
",Arial-BoldItalicMT,13.88 15.39,1
362,5,144,216,15,"Submittal Procedure .......................................................................................... 79 
",Arial-BoldItalicMT,13.88 15.39,1
58,5,72,192,15,"Schedule 4. 
",Arial-BoldItalicMT,13.88 15.39,1
362,5,144,192,15,"Insurance ............................................................................................................ 80 
",Arial-BoldItalicMT,13.88 15.39,1
434,5,72,169,15,"Schedule 5.  Milestones ........................................................................................................... 81 
",Arial-BoldItalicMT,13.88 15.39,1
58,5,72,145,15,"Schedule 6. 
",Arial-BoldItalicMT,13.88 15.39,1
362,5,144,145,15,"Tender Addenda ................................................................................................. 82 
",Arial-BoldItalicMT,13.88 15.39,1
434,5,72,122,15,"Schedule 7.  Responsibility Matrix ......................................................................................... 83 
",Arial-BoldItalicMT,13.88 15.39,1
58,5,72,98,15,"Schedule 8. 
",Arial-BoldItalicMT,13.88 15.39,1
362,5,144,98,15,"Plant and Materials on Site ............................................................................... 84 
",Arial-BoldItalicMT,13.88 15.39,1
235,5,72,38,10,"Subcontract for the Al Reem Island Integrated Health Care Center 
",ArialMT,10.7,1
58,6,72,771,15,"Schedule 9. 
",Arial-BoldItalicMT,13.88 15.39,1
362,6,144,771,15,"Subcontractors of Design Component/Elements ........................................... 85 
",Arial-BoldItalicMT,13.88 15.39,1
434,6,72,748,15,"Schedule 10.   Overtime Rates for Contractor’s / Employer’s Representative .........................  
",Arial-BoldItalicMT,13.88 15.39,1
434,6,72,724,15,"Contractor’s / Employer’s Representatives (or deputed assistants) ..................................... 86 
",Arial-BoldItalicMT,13.88 15.39,1
57,6,72,701,15,"Annexure 2 
",Arial-BoldItalicMT,13.88 15.39,1
362,6,144,701,15,"Design Study (Tender Drawings,etc.) .............................................................. 87 
",Arial-BoldItalicMT,13.88 15.39,1
57,6,72,677,15,"Annexure 3 
",Arial-BoldItalicMT,13.88 15.39,1
434,6,71,666,15,"Specifications)  ............................................................................................................................. 88 
",Arial-BoldItalicMT,13.88 15.39,1
331,6,144,676,13,"CSA Scope of Works & Quality Description (Civil and Finishes Works 
",Arial-BoldItalicMT,13.88,1
399,6,72,642,15,"Annexure 4  Mechanical & Electrical (M&E) Description (Scope of Works / Quality 
",Arial-BoldItalicMT,13.88 15.39,1
434,6,71,631,15,"Description, Main Items, Systems) ............................................................................................. 89 
",Arial-BoldItalicMT,13.88 15.39,1
434,6,72,607,15,"Annexure 5  Working Programme .......................................................................................... 90 
",Arial-BoldItalicMT,13.88 15.39,1
57,6,72,584,15,"Annexure 6 
",Arial-BoldItalicMT,13.88 15.39,1
362,6,144,584,15,"Payment Milestones........................................................................................... 91 
",Arial-BoldItalicMT,13.88 15.39,1
57,6,72,560,15,"Annexure 7 
",Arial-BoldItalicMT,13.88 15.39,1
362,6,144,560,15,"List of Exclusions .............................................................................................. 92 
",Arial-BoldItalicMT,13.88 15.39,1
57,6,72,537,15,"Annexure 8 
",Arial-BoldItalicMT,13.88 15.39,1
56,6,71,524,13,"Applicable) 
",Arial-BoldItalicMT,13.88,1
379,6,144,536,13,"Scope of Preparation Works Done by Subcontractor Until the Signing Date (Not 
",Arial-BoldItalicMT,13.88,1
362,6,144,525,15," ............................................................................................................................. 93 
",Arial-BoldItalicMT,13.88 15.39,1
57,6,72,502,15,"Annexure 9 
",Arial-BoldItalicMT,13.88 15.39,1
362,6,144,502,15,"Form of Daily / Weekly Progress Report ......................................................... 94 
",Arial-BoldItalicMT,13.88 15.39,1
434,6,72,478,15,"Annexure 10  Form of Monthly Progress Report .................................................................... 95 
",Arial-BoldItalicMT,13.88 15.39,1
434,6,72,455,15,"Annexure 11  Samples Requirements ..................................................................................... 96 
",Arial-BoldItalicMT,13.88 15.39,1
434,6,72,431,15,"Annexure 12  Form of Advance Payment Security ................................................................ 97 
",Arial-BoldItalicMT,13.88 15.39,1
434,6,72,408,15,"Annexure 13  Form of Taking-Over Certificate ....................................................................... 98 
",Arial-BoldItalicMT,13.88 15.39,1
434,6,72,384,15,"Annexure 14  Form of Performance Certificate ...................................................................... 99 
",Arial-BoldItalicMT,13.88 15.39,1
434,6,72,361,15,"Annexure 15  Forms of Novation Agreement ....................................................................... 100 
",Arial-BoldItalicMT,13.88 15.39,1
434,6,72,337,15,"Annexure 16  Form of Collateral Warranty ............................................................................ 101 
",Arial-BoldItalicMT,13.88 15.39,1
434,6,72,314,15,"Annexure 17  Health and Safety ............................................................................................. 102 
",Arial-BoldItalicMT,13.88 15.39,1
434,6,72,290,15,"Annexure 18  Estidama Perl Check List ................................................................................ 102 
",Arial-BoldItalicMT,13.88 15.39,1
