,Width,Page,Left,Top,Height,Text,Font,Size,Font Count,Is_Bullet,Heading,TOC,SScore,TextCount,IsCapital,Preds,Probs
426,11,10,92,646,14,8,Arial-BoldMT,14,1,0,1,0,6,1,0,1,0.84
427,339,10,126,646,14,"STANDARD RULES FOR THE CONTRACTOR AND 
",Arial-BoldMT,14,1,0,1,0,6,6,1,1,0.6
428,143,10,126,629,14,"SUBCONTRACTORS 
",Arial-BoldMT,14,1,0,1,0,6,1,1,1,0.73
443,421,10,101,389,11,"8.1  CONTRACTORS’  CONSTRUCTION  SITE  RULES  (STANDARD  RULES 
",Arial-BoldMT,11,1,2,1,1,3,7,1,0,0.63
444,104,10,134,376,11,"FOR EMPLOYEES) 
",Arial-BoldMT,11,1,0,1,0,3,2,1,0,0.54
483,11,11,92,531,14,9,Arial-BoldMT,14,1,0,1,0,6,1,0,1,0.84
484,128,11,126,531,14,"THE WORKPLACE 
",Arial-BoldMT,14,1,0,1,0,6,2,1,1,0.71
560,412,13,92,646,14,"10  PROJECT ORGANISATION, EHS PERSONNEL ROLES & 
",Arial-BoldMT,14,1,0,1,0,6,7,1,1,0.68
561,174,13,126,629,14,"RESPONSIBILITY CHART 
",Arial-BoldMT,14,1,0,1,0,6,2,1,1,0.83
562,222,13,101,592,11,"10.1  PROJECT ORGANIZATION CAHRT 
",Arial-BoldMT,11,1,0,1,0,3,4,1,0,0.52
563,237,13,101,183,11,"10.2  EHS ROLES AND RESPONSIBILITIES 
",Arial-BoldMT,11,1,0,1,0,3,5,1,0,0.59
564,238,13,92,153,9,"10.2.1  CEO / Managing Director (Top Management)   
",Arial-BoldMT,9,1,0,1,0,2,7,0,0,0.91
586,268,14,92,527,9,"10.2.2  Directors / Department Managers / Senior Managers 
",Arial-BoldMT,9,1,0,1,0,2,8,0,0,0.78
600,90,14,92,315,9,"10.2.3  Supervisors 
",Arial-BoldMT,9,1,0,1,0,2,2,0,0,0.6
609,189,14,92,154,9,"10.2.4  Employees / Contractors / Visitors 
",Arial-BoldMT,9,1,0,1,0,2,6,0,0,0.74
626,188,15,92,646,9,"10.2.5  EHS Managers / Officers / Advisor 
",Arial-BoldMT,9,1,0,1,0,2,7,0,0,0.88
638,131,15,92,474,9,"10.2.6  EHS Representatives 
",Arial-BoldMT,9,1,0,1,0,2,3,0,0,0.65
648,184,15,92,350,9,"10.2.7  Non-EHS Departments in Entities 
",Arial-BoldMT,9,1,0,1,0,2,5,0,0,0.88
684,333,16,92,524,14,"11  VAMED CONTACTS FOR KEY PERSONNEL: 
",Arial-BoldMT,14,1,0,1,0,6,6,1,1,0.82
685,50,16,85,503,9,"POSITION: 
","Arial-BoldMT,Arial-BoldItalicMT",9,2,0,1,0,0,1,1,0,0.69
686,33,16,198,503,9,"NAME: 
","Arial-BoldMT,Arial-BoldItalicMT",9,2,0,1,0,0,1,1,0,0.64
687,83,16,305,503,9,"TELEPHONE No#: 
","Arial-BoldMT,Arial-BoldItalicMT",9,2,0,1,0,0,2,0,1,0.53
688,35,16,402,503,9,"EMAIL: 
","Arial-BoldMT,Arial-BoldItalicMT",9,2,0,1,0,0,1,1,0,0.66
728,121,16,123,322,9,"EMERGENCY CONTACTS: 
","Arial-BoldMT,Arial-BoldItalicMT",9,2,0,1,0,0,2,1,0,0.67
729,83,16,289,322,9,"TELEPHONE No#: 
","Arial-BoldMT,Arial-BoldItalicMT",9,2,0,1,0,0,2,0,1,0.51
742,104,16,123,232,9,"LOCAL AUTHORITIES: 
","Arial-BoldMT,Arial-BoldItalicMT",9,2,0,1,0,0,2,1,0,0.65
743,83,16,289,232,9,"TELEPHONE No#: 
","Arial-BoldMT,Arial-BoldItalicMT",9,2,0,1,0,0,2,0,1,0.51
756,212,17,92,646,14,"12  PROJECT INFORMATION: 
",Arial-BoldMT,14,1,0,1,0,6,3,1,1,0.75
777,242,18,92,646,14,"13  PROJECT SITE BOUNDARIES: 
",Arial-BoldMT,14,1,0,1,0,6,4,1,1,0.76
786,107,19,92,646,14,"14  WELFARE 
",Arial-BoldMT,14,1,0,1,0,6,2,1,1,0.84
787,110,19,101,624,11,"14.1  NO SMOKING 
",Arial-BoldMT,11,1,0,1,0,3,3,1,1,0.55
791,25,19,101,536,11,14.2,Arial-BoldMT,11,1,0,1,0,3,1,0,0,0.52
792,126,19,134,536,11," NO ENTERTAINMENT  
",Arial-BoldMT,11,1,0,1,0,3,2,1,0,0.51
798,147,19,101,429,11,"14.3  DRUGS & ALCOHOL 
",Arial-BoldMT,11,1,0,1,0,3,4,1,1,0.6
805,266,19,101,305,11,"14.4  WORK IN HOT OR COLD ENVIRONMENTS  
",Arial-BoldMT,11,1,0,1,0,3,7,1,0,0.77
817,25,19,101,128,11,14.5,Arial-BoldMT,11,1,0,1,0,3,1,0,0,0.56
818,348,19,134,128,11," ACTIONS ARISING FROM YOUR ASSESSMENT MAY INCLUDE:  
",Arial-BoldMT,11,1,0,1,0,3,7,1,0,0.64
850,25,20,101,378,11,14.6,Arial-BoldMT,11,1,0,1,0,3,1,0,0,0.55
851,77,20,134,378,11," MEDICATION 
",Arial-BoldMT,11,1,0,1,0,3,1,1,0,0.64
865,108,21,92,646,14,"15  SECURITY 
",Arial-BoldMT,14,1,0,1,0,6,2,1,1,0.8
874,25,21,101,499,11,15.1,Arial-BoldMT,11,1,0,1,0,3,1,0,1,0.56
875,90,21,134,499,11," SITE VISITORS  
",Arial-BoldMT,11,1,0,1,0,3,2,1,0,0.58
907,315,22,101,646,11,"15.2  SITE VEHICLE & PLANT EQUIPMENT INSPECTIONS 
",Arial-BoldMT,11,1,0,1,0,3,7,1,0,0.65
944,276,22,92,326,14,"16  SPEED LIMITS & TRAFFIC ROUTES 
",Arial-BoldMT,14,1,0,1,0,6,6,1,1,0.8
952,215,22,101,193,11,"16.1  FLOORS AND TRAFFIC ROUTES  
",Arial-BoldMT,11,1,0,1,0,3,5,1,0,0.61
991,138,23,92,303,14,"17  SITE OFFICES: 
",Arial-BoldMT,14,1,0,1,0,6,3,1,1,0.77
993,215,23,101,253,11,"17.1  ROOM DIMENSIONS AND SPACE 
",Arial-BoldMT,11,1,0,1,0,3,5,1,0,0.57
1000,212,23,101,143,11,"17.2  ERGONOMIC CONSIDERATIONS 
",Arial-BoldMT,11,1,0,1,0,3,3,1,0,0.54
1014,213,24,101,646,11,"17.3  WORKSTATIONS AND SEATING  
",Arial-BoldMT,11,1,0,1,0,3,4,1,0,0.52
1021,131,24,101,535,11,"17.4  TRAILING LEADS 
",Arial-BoldMT,11,1,0,1,0,3,3,1,1,0.54
1026,213,24,101,441,11,"17.5  FILING CABINETS/ BOOKCASES 
",Arial-BoldMT,11,1,0,1,0,3,4,1,1,0.52
1037,178,24,101,226,11,"17.6  ELECTRICAL EQUIPMENT 
",Arial-BoldMT,11,1,0,1,0,3,3,1,0,0.51
1059,259,25,101,582,11,"17.7  CLEANLINESS AND WASTE MATERIALS  
",Arial-BoldMT,11,1,0,1,0,3,5,1,0,0.57
1066,280,25,101,468,11,"17.8  TEMPERATURES IN INDOOR WORKPLACES  
",Arial-BoldMT,11,1,0,1,0,3,5,1,0,0.6
1076,114,25,101,311,11,"17.9  VENTILATION  
",Arial-BoldMT,11,1,0,1,0,3,2,1,0,0.5
1086,96,25,101,146,11,"17.10  WINDOWS  
",Arial-BoldMT,11,1,0,1,0,3,2,1,0,0.52
1098,93,26,101,646,11,"17.11  LIGHTING  
",Arial-BoldMT,11,1,0,1,0,3,2,1,1,0.55
1100,340,26,101,604,11,"17.12  SANITARY CONVENIENCES AND WASHING FACILITIES  
",Arial-BoldMT,11,1,0,1,0,3,6,1,0,0.54
1108,245,26,101,482,11,"17.13  SITE ACCOMMODATION FIRE SAFETY 
",Arial-BoldMT,11,1,0,1,0,3,5,1,0,0.53
1189,218,28,101,554,11,"17.14  SAFE OFFICE WORK PRACTICES 
",Arial-BoldMT,11,1,0,1,0,3,5,1,1,0.52
1202,416,28,101,357,11,"17.15  ACCOMMODATION FOR CLOTHING AND FACILITIES FOR CHANGING  
",Arial-BoldMT,11,1,0,1,0,3,8,1,0,0.7
1209,231,28,101,249,11,"17.16  FACILITIES FOR REST AND MEALS  
",Arial-BoldMT,11,1,0,1,0,3,6,1,0,0.62
1235,139,29,101,534,11,"17.17  DRINKING WATER  
",Arial-BoldMT,11,1,0,1,0,3,3,1,1,0.52
1244,159,29,101,399,11,"17.18  FIRST AID FACILITIES  
",Arial-BoldMT,11,1,0,1,0,3,4,1,1,0.51
1248,346,29,92,316,14,"18  PERSONAL PROTECTION EQUIPMENT (PPE): 
",Arial-BoldMT,14,1,0,1,0,6,5,1,1,0.8
1260,145,29,101,146,11,"18.1  HEAD PROTECTION 
",Arial-BoldMT,11,1,0,1,0,3,3,1,0,0.55
1275,188,30,101,606,11,"18.2  EYE & FACE PROTECTIONS 
",Arial-BoldMT,11,1,0,1,0,3,5,1,0,0.51
1276,160,30,101,564,11,"18.3  SAFETY SPECTACLES 
",Arial-BoldMT,11,1,0,1,0,3,3,1,0,0.51
1284,93,30,101,425,11,"18.4  GOGGLES 
",Arial-BoldMT,11,1,0,1,0,3,2,1,1,0.57
1289,119,30,101,331,11,"18.5  FACE SHIELDS 
",Arial-BoldMT,11,1,0,1,0,3,3,1,1,0.52
1293,117,30,140,248,13,"Protection offered 
",Arial-BoldMT,13,1,0,1,0,5,2,0,1,0.78
1294,146,30,279,248,13,"Symbol  Product with 
",Arial-BoldMT,13,1,0,1,0,5,3,0,1,0.57
1295,68,30,342,233,13,"protection 
",Arial-BoldMT,13,1,0,1,0,5,1,0,1,0.74
1331,385,31,97,645,13,"STANDARDS: BS EN 166: 2002, BS EN 169: 2002, BS EN 175: 
",Arial-BoldMT,13,1,0,1,0,5,12,1,1,0.84
1332,32,31,97,630,13,1997,Arial-BoldMT,13,1,0,1,0,5,1,0,1,0.82
1333,299,31,101,584,11,"18.6  RESPIRATORY PROTECTION EQUIPMENT (RPE) 
",Arial-BoldMT,11,1,0,1,0,3,5,1,0,0.52
1362,358,31,97,95,13,"STANDARDS: BS EN 149, BS EN 1827, BS EN 140 masks 
",Arial-BoldMT,13,1,0,1,0,5,11,0,1,0.69
1363,139,31,97,80,13,"and BS EN 143 Filters 
",Arial-BoldMT,13,1,0,1,0,5,5,0,1,0.69
1375,165,32,101,564,11,"18.8  HEARING PROTECTION 
",Arial-BoldMT,11,1,0,1,0,3,3,1,1,0.51
1397,260,32,162,128,13,"STANDARDS: BS EN 352-1, BS EN 352- 2 
",Arial-BoldMT,13,1,0,1,0,5,8,1,1,0.77
1406,208,33,101,646,13,"18.9  BODY CLOTHING PROTECTION 
",Arial-BoldMT,13,1,0,1,0,5,4,1,1,0.79
1409,369,33,135,575,13,"EN 340:2003 – Protective clothing – General requirements  
",Arial-BoldMT,13,1,0,1,0,5,8,0,1,0.79
1418,341,33,135,452,13,"EN 471:2003 – Specification for high visibility warning 
",Arial-BoldMT,13,1,0,1,0,5,8,0,1,0.68
1419,54,33,135,437,13,"clothing 
",Arial-BoldMT,13,1,0,1,0,5,1,0,1,0.7
1426,346,33,135,316,13,"EN 470 -1: 1995- Protective clothing for use in wielding 
",Arial-BoldMT,13,1,0,1,0,5,10,0,1,0.65
1427,276,33,135,301,13,"and allied processes. General requirements 
","Arial-BoldMT,EPEKJD+ArialMT",13,2,0,1,0,0,5,0,0,0.58
1428,224,33,135,285,13,"Superseded by EN ISO 11611: 2007 
",Arial-BoldMT,13,1,0,1,0,5,6,0,1,0.73
1432,360,33,135,211,13,"EN 50286: 1999 – Electrical insulating protective clothing 
","Arial-BoldMT,EPEKJD+ArialMT",13,2,0,1,0,0,8,0,1,0.51
1433,177,33,135,196,13,"for low-voltage installations 
",Arial-BoldMT,13,1,0,1,0,5,3,0,1,0.73
1445,146,34,101,646,11,"18.10  HAND PROTECTION 
",Arial-BoldMT,11,1,0,1,0,3,3,1,1,0.53
1449,302,34,135,580,13,"EN 420: 2003 – General requirements for gloves 
",Arial-BoldMT,13,1,0,1,0,5,8,0,1,0.74
1456,360,34,135,481,13,"EN 388: 2003 – Protective gloves against mechanical risk 
",Arial-BoldMT,13,1,0,1,0,5,9,0,1,0.82
1468,340,34,135,310,13,"EN 374 – 1: 2003 – Protective gloves against chemical 
",Arial-BoldMT,13,1,0,1,0,5,10,0,1,0.82
1469,137,34,135,295,13,"and micro-organisms 
",Arial-BoldMT,13,1,0,1,0,5,2,0,1,0.63
1477,297,34,135,172,13,"EN 12477: 2001 – Protective gloves for welders 
",Arial-BoldMT,13,1,0,1,0,5,8,0,1,0.77
1489,144,35,101,646,11,"18.11  FOOT PROTECTION 
",Arial-BoldMT,11,1,0,1,0,3,3,1,1,0.55
1491,350,35,135,589,13,"EN 345-1: 1992 – Safety foot ware for professional use - 
",Arial-BoldMT,13,1,0,1,0,5,11,0,1,0.69
1492,85,35,135,574,13,"Specification 
",Arial-BoldMT,13,1,0,1,0,5,1,0,1,0.79
1516,366,35,135,266,13,"EN 346-1: 1992 – Protective foot ware for professional use 
",Arial-BoldMT,13,1,0,1,0,5,10,0,1,0.82
1517,93,35,135,251,13,"- Specification 
",Arial-BoldMT,13,1,0,1,0,5,2,0,1,0.78
1518,220,35,135,236,13,"Superseded by EN ISO 20346:2004 
",Arial-BoldMT,13,1,0,1,0,5,5,0,1,0.71
1540,366,36,135,645,13,"EN 346-2: 1996 – Protective foot ware for professional use 
",Arial-BoldMT,13,1,0,1,0,5,10,0,1,0.81
1541,93,36,135,630,13,"- Specification 
",Arial-BoldMT,13,1,0,1,0,5,2,0,1,0.78
1548,185,36,101,499,11,"18.12  FALL ARREST EQUIPMENT 
",Arial-BoldMT,11,1,0,1,0,3,4,1,0,0.5
1549,162,36,134,463,10,"Legal requirements and standards  
",EPEKJD+ArialMT,10,1,0,1,0,0,4,0,0,0.92
1596,147,37,135,458,10,"Scope of the inspection regime  
",EPEKJD+ArialMT,10,1,0,1,0,0,5,0,0,0.87
1603,81,37,135,305,10,"Pre-use checks  
","Arial-BoldMT,EPEKJD+ArialMT",10,2,0,1,0,0,2,0,0,0.9
1610,106,37,135,165,10,"Detailed inspections  
","Arial-BoldMT,EPEKJD+ArialMT",10,2,0,1,0,0,2,0,0,0.91
1626,100,38,135,646,10,"Interim inspections  
","Arial-BoldMT,EPEKJD+ArialMT",10,2,0,1,0,0,2,0,0,0.86
1640,169,38,135,424,10,"Examples of defects and damage  
","Arial-BoldMT,EPEKJD+ArialMT",10,2,0,1,0,0,5,0,0,0.94
1676,163,39,126,622,10,"Withdrawing lanyards from use:  
","Arial-BoldMT,EPEKJD+ArialMT",10,2,0,1,0,0,4,0,0,0.96
1694,105,39,92,366,14,"19  LADDERS 
",Arial-BoldMT,14,1,0,1,0,6,2,1,1,0.84
1704,58,39,135,176,10,"Suitability   
",Arial-BoldMT,10,1,0,1,0,2,1,0,0,0.91
1750,235,40,135,239,10,"Is it a safe place to use a ladder or stepladder?  
",Arial-BoldMT,10,1,0,1,0,2,11,0,0,0.94
1808,216,41,135,69,10,"Is the ladder or stepladder safe to be used? 
",Arial-BoldMT,10,1,0,1,0,2,9,0,0,0.77
1828,287,42,135,468,10,"What are pre-use checks and detailed visual inspections? 
",Arial-BoldMT,10,1,0,1,0,2,8,0,0,0.97
1843,251,42,135,243,10,"Do my ladder-users know how to use them safely? 
",Arial-BoldMT,10,1,0,1,0,2,9,0,0,0.76
1887,148,43,92,300,14,"20  SCAFFOLDINGS 
",Arial-BoldMT,14,1,0,1,0,6,2,1,1,0.89
1925,78,44,135,434,9,"Erecting a tower  
",Arial-BoldMT,9,1,0,1,0,2,3,0,0,0.95
1949,41,44,135,79,9,"Stability  
",Arial-BoldMT,9,1,0,1,0,2,1,0,0,0.97
1972,75,45,135,420,9,"Using the tower  
",Arial-BoldMT,9,1,0,1,0,2,3,0,0,0.82
1983,97,45,135,268,10,"Never use a tower:  
",Arial-BoldMT,10,1,0,1,0,2,4,0,0,0.91
1989,94,45,135,182,10,"Moving the tower:  
","Arial-BoldMT,EPEKJD+ArialMT",10,2,0,1,0,0,3,0,0,0.87
2006,106,46,135,621,9,"Inspection and reports  
",Arial-BoldMT,9,1,0,1,0,2,3,0,0,0.94
2036,94,46,135,118,9,"Dismantling a tower  
",Arial-BoldMT,9,1,0,1,0,2,3,0,0,0.93
2055,118,47,135,534,9,"Statutory responsibilities  
",Arial-BoldMT,9,1,0,1,0,2,2,0,0,0.96
2077,44,47,135,146,9,"Planning  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,1,0,0,0.92
2091,36,48,135,616,9,"Design  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,1,0,0,0.61
2133,46,49,135,622,9,"Materials  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,1,0,0,0.88
2141,110,49,135,486,13,"Erecting the false work  
","Arial-BoldMT,EPEKJD+ArialMT",13,2,0,1,0,0,4,0,0,0.6
2153,41,49,135,261,9,"Loading  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,1,0,0,0.92
2159,115,49,135,168,9,"Striking and dismantling  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,3,0,0,0.94
2166,42,49,135,63,9,"Training  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,1,0,0,0.82
2177,196,50,92,595,14,"21  WORKING AT HEIGHTS 
",Arial-BoldMT,14,1,0,1,0,6,4,1,1,0.68
2219,417,51,92,646,14,"22  PRECAUTIONS FOR ALL ROOF WORK OR AT A HEIGHT 
",Arial-BoldMT,14,1,0,1,0,6,10,1,1,0.67
2244,123,51,135,293,9,"Getting on and off the roof  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,6,0,0,0.99
2249,76,51,135,212,9,"Edge protection  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,2,0,0,0.76
2267,74,52,135,623,9,"Work platforms  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,2,0,0,0.82
2273,69,52,135,531,9,"Fall mitigation  
","Arial-BoldMT,Arial-BoldItalicMT",9,2,0,1,0,0,2,0,0,0.85
2284,74,52,135,379,9,"Falling material  
",Arial-BoldMT,9,1,0,1,0,2,2,0,0,0.95
2292,50,52,135,239,11,"Training  
","Arial-BoldMT,EPEKJD+ArialMT",11,2,0,1,0,0,1,0,0,0.84
2314,111,53,135,624,11,"Weather conditions  
",Arial-BoldMT,11,1,0,1,0,3,2,0,0,0.73
2321,95,53,135,506,9,"Short-duration work  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,2,0,0,0.87
2335,62,53,135,294,9,"Fragile roofs  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,2,0,0,0.84
2365,135,54,135,552,9,"Prevent unauthorized access  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,3,0,0,0.86
2370,131,54,135,471,9,"Working on fragile materials  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,4,0,0,0.91
2409,132,55,135,575,9,"Working near fragile material 
",Arial-BoldMT,9,1,0,1,0,2,4,0,0,0.94
2433,119,55,135,203,9,"Working on sloping roofs  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,4,0,0,0.9
2439,62,55,135,97,9,"Roof ladders  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,2,0,0,0.86
2455,82,56,135,576,9,"Industrial roofing  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,2,0,0,0.84
2469,80,56,135,350,9,"Systems of work  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,3,0,0,0.76
2479,112,56,135,189,9,"Falls from the roof edge  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,5,0,0,0.98
2508,89,57,135,445,9,"Falls through gaps  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,3,0,0,0.91
2513,119,57,135,363,9,"Falls through liner panels  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,4,0,0,0.95
2521,127,57,135,234,9,"Falls from the leading edge  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,5,0,0,0.99
2559,79,58,135,349,9,"Falling materials  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,2,0,0,0.84
2566,99,58,135,227,9,"Working on flat roofs  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,4,0,0,0.92
2571,76,58,135,133,9,"Edge protection  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,2,0,0,0.79
2594,110,59,135,499,9,"Demarcating safe areas  
","Arial-BoldMT,EPEKJD+ArialMT",9,2,0,1,0,0,3,0,0,0.88
2605,185,59,132,341,11," Short-duration work on flat roofs  
","Arial-BoldMT,EPEKJD+ArialMT",11,2,0,1,0,0,5,0,0,0.92
2628,363,60,92,646,14,"23  PREVENTION TOWARDS SLIPS, TRIPS & FALLS 
",Arial-BoldMT,14,1,0,1,0,6,7,1,1,0.72
2643,183,60,92,415,14,"24  PLANT / EQUIPMENT  
",Arial-BoldMT,14,1,0,1,0,6,4,1,1,0.76
2650,25,60,101,283,11,24.1,Arial-BoldMT,11,1,0,1,0,3,1,0,0,0.56
2651,131,60,134,283,11,". LIFTING OPERATIONS 
",Arial-BoldMT,11,1,0,1,0,3,3,1,0,0.68
2691,145,61,101,408,11,"24.2  WORK EQUIPMENT  
",Arial-BoldMT,11,1,0,1,0,3,3,1,0,0.58
2777,192,63,101,605,11,"24.3  MOBILE WORK EQUIPMENT  
",Arial-BoldMT,11,1,0,1,0,3,4,1,0,0.55
2793,111,63,101,344,11,"24.4  HAND TOOLS 
",Arial-BoldMT,11,1,0,1,0,3,3,1,1,0.55
2807,153,63,101,128,11,"24.5  DRILLING MACHINES 
",Arial-BoldMT,11,1,0,1,0,3,3,1,1,0.53
2827,205,64,101,485,11,"24.6  HAND ARM VIBRATIONS (HAV) 
",Arial-BoldMT,11,1,0,1,0,3,5,1,1,0.55
2851,154,64,135,121,10,"Personal protective equipment 
",Arial-BoldMT,10,1,0,1,0,2,3,0,0,0.91
2864,71,65,101,593,11,"24.7  NOISE 
",Arial-BoldMT,11,1,0,1,0,3,2,1,1,0.6
2907,149,66,101,646,11,"24.8  FORK- LIFT TRUCKS 
",Arial-BoldMT,11,1,0,1,0,3,4,1,1,0.55
2930,25,66,101,306,11,24.9,Arial-BoldMT,11,1,0,1,0,3,1,0,0,0.54
2931,388,66,134,306,11,"INSTRUCTION  AND  TRAINING  OF  EMPLOYEES  IN  THE  USE  OF 
",Arial-BoldMT,11,1,0,1,0,3,9,1,0,0.8
2932,80,66,134,293,11,"EQUIPMENT’S 
",Arial-BoldMT,11,1,0,1,0,3,1,1,0,0.77
2960,190,67,101,559,11,"24.10  EQUIPMENT MAINTENANCE 
",Arial-BoldMT,11,1,0,1,0,3,3,1,0,0.53
3018,143,68,92,472,14,"25  EXCAVATIONS  
",Arial-BoldMT,14,1,0,1,0,6,2,1,1,0.87
3030,132,68,109,199,10,"Managers/ Health & Safety 
",Arial-BoldMT,10,1,0,1,0,2,4,0,0,0.67
3047,121,69,109,588,10,"Contractors/ Employees 
",Arial-BoldMT,10,1,0,1,0,2,2,0,0,0.73
3053,30,69,109,449,10,"Risks  
",Arial-BoldMT,10,1,0,1,0,2,1,0,0,0.51
3061,109,69,135,255,9,"Collapse of excavations 
",Arial-BoldMT,9,1,0,1,0,2,3,0,0,0.82
3070,133,69,135,67,9,"Falling or dislodging material 
",Arial-BoldMT,9,1,0,1,0,2,4,0,0,0.86
3088,109,70,135,432,9,"Falling into excavations 
",Arial-BoldMT,9,1,0,1,0,2,3,0,0,0.89
3097,49,70,135,224,9,"Inspection 
",Arial-BoldMT,9,1,0,1,0,2,1,0,0,0.78
3112,360,71,92,646,14,"26  WASTE MANAGEMENT & SEGREGATION BAYS 
",Arial-BoldMT,14,1,0,1,0,6,6,1,1,0.79
3141,98,71,135,215,10,"1.1.  Storage areas  
","Arial-BoldMT,EPEKJD+ArialMT",10,2,2,1,1,0,3,0,0,0.87
3145,117,71,135,156,10,"1.2.  Pedestrian routes  
","Arial-BoldMT,EPEKJD+ArialMT",10,2,2,1,1,0,3,0,0,0.99
3149,129,71,135,96,10,"1.3.  Flammable materials 
","Arial-BoldMT,EPEKJD+ArialMT",10,2,2,1,1,0,3,0,0,0.94
3160,114,72,135,634,10,"1.4.  Storage at height  
","Arial-BoldMT,EPEKJD+ArialMT",10,2,2,1,1,0,4,0,0,0.89
3164,54,72,135,575,10,"1.5.  Skips 
",Arial-BoldMT,10,1,2,1,1,2,2,0,0,0.9
3168,139,72,135,515,10,"1.6.  Waste within buildings 
","Arial-BoldMT,EPEKJD+ArialMT",10,2,2,1,1,0,4,0,0,0.99
3171,68,72,135,468,10,"1.7.  Tidiness 
","Arial-BoldMT,EPEKJD+ArialMT",10,2,2,1,1,0,2,0,0,0.98
